SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
CADILAHC, EQ, 28-Sep-2020, 385.50, 389.10, 392.55, 381.35, 390.05, 390.60, 387.41, 3623432, 14037.53, 33344, 828655, 22.87
CADSYS, SM, 28-Sep-2020, 25.20, 23.95, 23.95, 23.95, 23.95, 23.95, 23.95, 8000, 1.92, 4, 6000, 75.00
CAMLINFINE, EQ, 28-Sep-2020, 102.15, 104.30, 107.25, 103.60, 107.25, 107.25, 106.75, 363994, 388.57, 1313, 259381, 71.26
CANBK, EQ, 28-Sep-2020, 87.10, 88.50, 91.60, 87.80, 91.10, 91.00, 90.08, 7228221, 6511.22, 30977, 836445, 11.57
CANFINHOME, EQ, 28-Sep-2020, 409.20, 414.00, 420.90, 412.00, 420.20, 418.65, 416.57, 277696, 1156.80, 10893, 135250, 48.70
CANTABIL, EQ, 28-Sep-2020, 323.55, 326.95, 335.00, 322.00, 322.05, 324.05, 328.20, 157392, 516.56, 7380, 22967, 14.59
CAPACITE, EQ, 28-Sep-2020, 118.45, 118.45, 123.10, 118.40, 119.00, 120.00, 120.40, 33939, 40.86, 864, 22034, 64.92
CAPLIPOINT, EQ, 28-Sep-2020, 552.25, 560.00, 581.00, 555.00, 576.00, 575.95, 568.79, 285345, 1623.02, 10059, 88324, 30.95
CAPTRUST, EQ, 28-Sep-2020, 59.10, 57.50, 61.65, 57.50, 61.65, 60.90, 60.26, 2651, 1.60, 122, 1495, 56.39
CARBORUNIV, EQ, 28-Sep-2020, 249.05, 251.50, 263.90, 248.25, 259.95, 260.50, 253.27, 301215, 762.89, 7623, 213284, 70.81
CAREERP, EQ, 28-Sep-2020, 167.00, 166.50, 171.35, 164.15, 165.80, 165.40, 167.89, 22566, 37.89, 670, 14514, 64.32
CARERATING, EQ, 28-Sep-2020, 357.00, 361.95, 361.95, 351.00, 351.65, 352.95, 354.71, 150432, 533.60, 11942, 92614, 61.57
CASTROLIND, EQ, 28-Sep-2020, 109.85, 111.00, 112.90, 109.20, 109.60, 109.50, 110.49, 1159860, 1281.54, 13218, 706725, 60.93
CCHHL, EQ, 28-Sep-2020, 2.85, 2.85, 2.95, 2.75, 2.85, 2.80, 2.90, 21289, 0.62, 47, 16399, 77.03
CCL, EQ, 28-Sep-2020, 255.00, 260.05, 271.00, 256.35, 265.00, 265.45, 262.61, 271244, 712.32, 7168, 151465, 55.84
CDSL, EQ, 28-Sep-2020, 474.10, 478.50, 506.00, 473.10, 492.50, 493.50, 494.17, 3502258, 17307.14, 66111, 691297, 19.74
CEATLTD, EQ, 28-Sep-2020, 905.15, 918.00, 954.80, 918.00, 954.10, 947.30, 939.68, 441672, 4150.32, 9946, 244126, 55.27
CEBBCO, EQ, 28-Sep-2020, 15.95, 16.50, 17.50, 16.35, 17.50, 17.50, 17.20, 163439, 28.11, 352, 139575, 85.40
CELEBRITY, EQ, 28-Sep-2020, 4.70, 4.85, 4.85, 4.65, 4.75, 4.75, 4.69, 19941, 0.93, 47, 15953, 80.00
CENTENKA, EQ, 28-Sep-2020, 170.75, 173.95, 178.00, 170.75, 173.60, 174.15, 173.82, 23832, 41.42, 854, 13889, 58.28
CENTEXT, EQ, 28-Sep-2020, 3.45, 3.60, 3.60, 3.35, 3.55, 3.55, 3.53, 95742, 3.38, 213, 50663, 52.92
CENTRALBK, EQ, 28-Sep-2020, 16.20, 16.20, 16.60, 15.85, 16.00, 16.05, 16.18, 1475712, 238.80, 2959, 851029, 57.67
CENTRUM, EQ, 28-Sep-2020, 15.95, 15.95, 16.60, 15.55, 15.90, 15.85, 16.24, 154046, 25.01, 470, 120870, 78.46
